2025-08-22 07:24:03 | INFO | app.main | Starting AI Agent Prospecting Platform...
2025-08-22 07:24:03 | INFO | app.main | Database initialized
2025-08-22 07:27:22 | INFO | app.main | Starting AI Agent Prospecting Platform...
2025-08-22 07:27:22 | INFO | app.main | Database initialized
2025-08-22 07:27:34 | INFO | app.api.v1.endpoints.prospecting | Created campaign 2: Test Permissions
2025-08-22 07:28:50 | INFO | app.services.crewai_service | Campaign 2 started successfully
2025-08-22 07:28:50 | INFO | app.services.crewai_service | Starting background execution for campaign 2
2025-08-22 07:36:35 | INFO | app.main | Starting AI Agent Prospecting Platform...
2025-08-22 07:36:35 | INFO | app.main | Database initialized
2025-08-22 07:39:37 | INFO | app.main | Shutting down...
2025-08-22 07:39:46 | INFO | app.main | Starting AI Agent Prospecting Platform...
2025-08-22 07:39:46 | INFO | app.main | Database initialized
2025-08-22 07:57:23 | INFO | app.main | Shutting down...
2025-08-22 07:58:26 | INFO | app.main | Starting AI Agent Prospecting Platform...
2025-08-22 07:58:26 | INFO | app.main | Database initialized
